Array Length,Radix Sort: Radix=Length,QR Sort: Divisor=Length
2480, 352232200, 330289200
2490, 353651000, 330159000
2500, 355069800, 330037800
2510, 356488800, 329916800
2520, 357907600, 329804600
2530, 359327800, 329699800
2540, 360748400, 329601400
2550, 362168800, 329505800
2560, 363589200, 329416200
2570, 365010000, 329333000
2580, 366427200, 329252200
2590, 367849400, 329182400
2600, 369269200, 329113200
2610, 370691200, 329052200
2620, 372111200, 328992200
2630, 373528600, 328938600
2640, 374947600, 328889600
2650, 376367200, 328844200
2660, 377789600, 328807600
2670, 379211400, 328776400
2680, 380630000, 328748000
2690, 382049000, 328723000
2700, 383467800, 328700800
2710, 384887000, 328685000
2720, 386309600, 328678600
2730, 387729800, 328672800
2740, 389149200, 328669200
2750, 390571800, 328674800
2760, 391988400, 328677400
2770, 393407600, 328688600
2780, 394831000, 328707000
2790, 396250600, 328727600
2800, 397668600, 328749600
2810, 399085800, 328773800
2820, 400508400, 328809400
2830, 401928600, 328845600
2840, 403350400, 328886400
2850, 404770600, 328931600
2860, 406185400, 328974400
2870, 407607400, 329027400
2880, 409029400, 329086400
2890, 410450000, 329147000
2900, 411870000, 329210000
2910, 413290600, 329276600
2920, 414707800, 329342800
2930, 416129000, 329419000
2940, 417547200, 329495200
2950, 418970400, 329579400
2960, 420388000, 329661000
2970, 421809200, 329752200
2980, 423229800, 329842800
2990, 424648200, 329937200
3000, 426069200, 330037200
3010, 427486000, 330133000
3020, 428908800, 330240800
3030, 430332000, 330352000
3040, 431747800, 330461800
3050, 433173200, 330581200
3060, 434589800, 330694800
3070, 436010600, 330815600
3080, 437432400, 330943400
3090, 438847000, 331064000
3100, 440265800, 331194800
3110, 441689000, 331330000
3120, 443109800, 331465800
3130, 444529000, 331606000
3140, 445948600, 331746600
3150, 447369200, 331894200
3160, 448788000, 332040000
3170, 450208000, 332190000
3180, 451632000, 332347000
3190, 453048200, 332499200
3200, 454470600, 332663600
3210, 455887000, 332819000
3220, 457309400, 332986400
3230, 458727000, 333152000
3240, 460151200, 333327200
3250, 461569000, 333496000
3260, 462987600, 333671600
3270, 464411000, 333852000
3280, 465829600, 334030600
3290, 467251200, 334215200
3300, 468665800, 334395800
3310, 470090200, 334589200
3320, 471508800, 334776800
3330, 472931200, 334974200
3340, 474351400, 335169400
3350, 475767000, 335363000
3360, 477191000, 335565000
3370, 478611200, 335769200
3380, 480031000, 335973000
3390, 481449600, 336178600
3400, 482868800, 336387800
3410, 484290200, 336602200
3420, 485707600, 336812600
3430, 487128600, 337029600
3440, 488549000, 337249000
3450, 489966800, 337468800
3460, 491388400, 337692400
3470, 492807800, 337916800
3480, 494228800, 338145800
3490, 495647200, 338372200
3500, 497069200, 338608200
3510, 498490600, 338843600
3520, 499908800, 339075800
3530, 501328200, 339312200
3540, 502747400, 339551400
3550, 504170000, 339797000
3560, 505592200, 340042200
3570, 507008400, 340284400
3580, 508428200, 340533200
3590, 509848800, 340782800
3600, 511265800, 341031800
3610, 512687200, 341288200
3620, 514110200, 341546200
3630, 515530400, 341804400
3640, 516950800, 342062800
3650, 518368400, 342321400
3660, 519787200, 342584200
3670, 521210800, 342851800
3680, 522632400, 343120400
3690, 524048800, 343386800
3700, 525467400, 343655400
3710, 526890200, 343931200
3720, 528307800, 344201800
3730, 529729600, 344479600
3740, 531148200, 344754200
3750, 532568000, 345036000
3760, 533987800, 345314800
3770, 535411200, 345600200
3780, 536829400, 345883400
3790, 538251000, 346170000
3800, 539665800, 346452800
3810, 541089000, 346747000
3820, 542509000, 347038000
3830, 543927400, 347327400
3840, 545348400, 347622400
3850, 546768200, 347919200
3860, 548188000, 348216000
3870, 549608200, 348513200
3880, 551028200, 348813200
3890, 552451200, 349119200
3900, 553867800, 349418800
3910, 555288400, 349725400
3920, 556708200, 350031200
3930, 558126800, 350335800
3940, 559549800, 350650800
3950, 560968800, 350958800
3960, 562388000, 351270000
3970, 563811200, 351588200
3980, 565229200, 351901200
3990, 566653800, 352220800
4000, 568072000, 352540000
4010, 569489000, 352855000
4020, 570909600, 353176600
4030, 572332000, 353500000
4040, 573748800, 353820800
4050, 575168400, 354147400
4060, 576590200, 354473200
4070, 578011200, 354804200
4080, 579428200, 355128200
4090, 580851000, 355461000
4100, 582270600, 355793600
4110, 583689400, 356125400
4120, 585108200, 356457200
4130, 586529000, 356794000
4140, 587948800, 357129800
4150, 589370600, 357470600
4160, 590788800, 357807800
4170, 592209400, 358150400
4180, 593630000, 358493000
4190, 595051200, 358836200
4200, 596467600, 359177600
4210, 597887600, 359522600
4220, 599310800, 359873800
4230, 600729200, 360217200
4240, 602148600, 360567600
4250, 603569000, 360919000
4260, 604989600, 361270600
4270, 606412200, 361624200
4280, 607828800, 361974800
4290, 609247800, 362330800
4300, 610670000, 362687000
4310, 612093600, 363047600
4320, 613509400, 363403400
4330, 614930200, 363764200
4340, 616346800, 364120800
4350, 617772200, 364486200
4360, 619190400, 364847400
4370, 620609600, 365209600
4380, 622029800, 365575800
4390, 623448800, 365940800
4400, 624871000, 366309000
4410, 626286000, 366673000
4420, 627710400, 367046400
4430, 629129600, 367417600
4440, 630552600, 367789600
4450, 631970400, 368159400
4460, 633388000, 368532000
4470, 634809000, 368908000
4480, 636231400, 369285400
4490, 637654400, 369663400
4500, 639069000, 370036000
4510, 640490200, 370415200
4520, 641911000, 370794000
4530, 643330000, 371174000
4540, 644750000, 371555000
4550, 646169800, 371938800
4560, 647590400, 372320400
4570, 649011600, 372705600
4580, 650429600, 373090600
4590, 651851000, 373476000
4600, 653268800, 373860800
4610, 654688200, 374247200
4620, 656108800, 374637800
4630, 657528200, 375027200
4640, 658951000, 375420000
4650, 660369400, 375811400
4660, 661786000, 376198000
4670, 663210000, 376595000
4680, 664629800, 376990800
4690, 666046600, 377380600
4700, 667471800, 377781800
4710, 668890000, 378179000
4720, 670309000, 378574000
4730, 671729000, 378973000
4740, 673148600, 379371600
4750, 674572400, 379774400
4760, 675989400, 380173400
4770, 677408600, 380574600
4780, 678829400, 380977400
4790, 680250600, 381383600
4800, 681668800, 381786800
4810, 683088200, 382191200
4820, 684509600, 382597600
4830, 685929400, 383002400
4840, 687347600, 383408600
4850, 688770800, 383819800
4860, 690189200, 384229200
4870, 691609400, 384637400
4880, 693032000, 385051000
4890, 694452000, 385462000
4900, 695870400, 385874400
4910, 697288400, 386283400
4920, 698707600, 386696600
4930, 700130000, 387113000
4940, 701552600, 387532600
4950, 702965800, 387942800
4960, 704391600, 388362600
4970, 705812000, 388783000
4980, 707227400, 389195400
4990, 708650200, 389618200
5000, 710068000, 390036000
