Array Length,Merge Sort,Quicksort,Counting Sort,Radix Sort: $b=n$,QR Sort: $d=\sqrt{m}$
10000, 1259029900, 847307800, 150140018800, 930049800, 606605800
20000, 2717869700, 1785892800, 150280023000, 1860054000, 1156610000
30000, 4243543700, 2868920100, 150420020600, 2790051600, 1706607600
40000, 5835863000, 3905156200, 150560024000, 3720055000, 2256611000
50000, 7456934100, 5040911300, 150700021400, 4650052400, 2806608400
60000, 9086813500, 6017626800, 150840022000, 5580053000, 3356609000
70000, 10756100200, 7176880100, 150980025000, 6510056000, 3906612000
80000, 12471944500, 8175654400, 151120028000, 7440059000, 4456615000
90000, 14191918300, 9447281500, 151260026600, 8370057600, 5006613600
100000, 15914514300, 10629236300, 151400027000, 9300058000, 5556614000
110000, 17643462800, 11866772300, 151540026200, 10230057200, 6106613200
120000, 19374204100, 13024290300, 151680023000, 11160054000, 6656610000
130000, 21106044300, 14035257400, 151820027400, 12090058400, 7206614400
140000, 22911279800, 15276998500, 151960026200, 13020057200, 7756613200
150000, 24727146300, 16213043600, 152100025600, 13950056600, 8306612600
160000, 26543585500, 17535859000, 152240026800, 14880057800, 8856613800
170000, 28362809500, 18692210200, 152380025600, 15810056600, 9406612600
180000, 30183395800, 20354322300, 152520027600, 16740058600, 9956614600
190000, 32005032400, 21502124700, 152660025400, 17670056400, 10506612400
200000, 33828618000, 22722467700, 152800026600, 18600057600, 11056613600
210000, 35657922400, 23986135100, 152940027600, 19530058600, 11606614600
220000, 37486436700, 25042135900, 153080027400, 20460058400, 12156614400
230000, 39316572900, 26537436800, 153220028200, 21390059200, 12706615200
240000, 41148174400, 27403685400, 153360030800, 22320061800, 13256617800
250000, 42979608900, 28695894600, 153500024400, 23250055400, 13806611400
260000, 44811415700, 29701483500, 153640025800, 24180056800, 14356612800
270000, 46708540300, 31685392900, 153780030000, 25110061000, 14906617000
280000, 48623722500, 32317192900, 153920027400, 26040058400, 15456614400
290000, 50538431200, 34691683900, 154060030000, 26970061000, 16006617000
300000, 52454227200, 34747852000, 154200028200, 27900059200, 16556615200
310000, 54371415300, 36938933800, 154340029200, 28830060200, 17106616200
320000, 56287954600, 37422630700, 154480026400, 29760057400, 17656613400
330000, 58205551000, 39541378500, 154620027600, 30690058600, 18206614600
340000, 60125757200, 40885336700, 154760029200, 31620060200, 18756616200
350000, 62046504300, 41443496000, 154900031200, 32550062200, 19306618200
360000, 63966897500, 43236153000, 155040030800, 33480061800, 19856617800
370000, 65888021700, 44908721700, 155180027200, 34410058200, 20406614200
380000, 67809756300, 46228336700, 155320034400, 35340065400, 20956621400
390000, 69731849000, 46248470300, 155460026400, 36270057400, 21506613400
400000, 71658161400, 47894628400, 155600028200, 37200059200, 22056615200
410000, 73585764900, 48292482600, 155740028800, 38130059800, 22606615800
420000, 75515631800, 49917427400, 155880028800, 39060059800, 23156615800
430000, 77444785600, 51703816600, 156020027800, 39990058800, 23706614800
440000, 79373415000, 52944256300, 156160028000, 40920059000, 24256615000
450000, 81302038200, 55290846600, 156300028400, 41850059400, 24806615400
460000, 83232865600, 56374462200, 156440029400, 42780060400, 25356616400
470000, 85165452200, 57328333900, 156580025600, 43710056600, 25906612600
480000, 87096194300, 58990585300, 156720026600, 44640057600, 26456613600
490000, 89027574600, 60266567500, 156860029200, 45570060200, 27006616200
500000, 90959661700, 61102287800, 157000028200, 46500059200, 27556615200
510000, 92891903100, 62587853600, 157140025800, 47430056800, 28106612800
520000, 94823166300, 63921913100, 157280031800, 48360062800, 28656618800
530000, 96803444800, 65159532200, 157420028800, 49290059800, 29206615800
540000, 98817977500, 65823057900, 157560028800, 50220059800, 29756615800
550000, 100832779800, 68461741800, 157700028800, 51150059800, 30306615800
560000, 102846709800, 67654177300, 157840024800, 52080055800, 30856611800
570000, 104862506700, 69921060100, 157980028600, 53010059600, 31406615600
580000, 106877643200, 70967955700, 158120027000, 53940058000, 31956614000
590000, 108892587300, 73839613000, 158260025800, 54870056800, 32506612800
600000, 110909685600, 74568851900, 158400030000, 55800061000, 33056617000
610000, 112925916100, 76438649700, 158540033400, 56730064400, 33606620400
620000, 114941227100, 77822939900, 158680026600, 57660057600, 34156613600
630000, 116958324400, 77826604700, 158820028200, 58590059200, 34706615200
640000, 118976680600, 80964900800, 158960030800, 59520061800, 35256617800
650000, 120991515100, 81059858300, 159100029000, 60450060000, 35806616000
660000, 123010640100, 81314698500, 159240028600, 61380059600, 36356615600
670000, 125031503000, 83633281000, 159380025200, 62310056200, 36906612200
680000, 127051799800, 84572826300, 159520028800, 63240059800, 37456615800
690000, 129073649200, 87086026600, 159660028400, 64170059400, 38006615400
700000, 131093138400, 88899455700, 159800032400, 65100063400, 38556619400
710000, 133112786800, 91195509000, 159940029200, 66030060200, 39106616200
720000, 135134438000, 91612510700, 160080031200, 66960062200, 39656618200
730000, 137155181400, 92858364000, 160220032600, 67890063600, 40206619600
740000, 139176527500, 93846358500, 160360032400, 68820063400, 40756619400
