Array Length, Radix Sort, QR Sort
10,1500466.667,45000269467
20,2332866.667,22500537867
30,3008533.333,15000806533
40,4008533.333,11251076533
50,4204666.667,9001345667
60,5044733.333,7501615733
70,5884466.667,6430456467
80,6723533.333,5627154533
90,7563666.667,5002422667
100,8403000,4502694000
110,9242666.667,4093871667
120,8159933.333,3753233933
130,8839933.333,3465041933
140,9518933.333,3218056933
150,10201000,3004045000
160,10878933.33,2816812933
170,11559933.33,2651639933
180,12238533.33,2504851533
190,12920133.33,2373543133
200,13599466.67,2255393467
210,14280333.33,2148519333
220,14958933.33,2051386933
230,15638666.67,1962721667
240,16318933.33,1881472933
250,16997066.67,1806741067
260,17678800,1737781800
270,18357400,1673946400
280,19038533.33,1614694533
290,19718333.33,1559545333
300,20396466.67,1508090467
310,21076866.67,1459970867
320,21757933.33,1414881933
330,22438266.67,1372537267
340,23118600,1332700600
350,23796000,1295153000
360,24475933.33,1259707933
370,25157600,1226196600
380,25838800,1194460800
390,26518533.33,1164367533
400,27198533.33,1135792533
410,27875800,1108618800
420,28558733.33,1082758733
430,29238133.33,1058113133
440,29916533.33,1034597533
450,30597200,1012140200
460,31279266.67,990671266.7
470,31957000,970125000
480,32637133.33,950451133.3
490,33317533.33,931587533.3
500,33996866.67,913490866.7
510,34676133.33,896111133.3
520,35355866.67,879412866.7
530,36037800,863355800
540,28074800,847902800
550,28593466.67,833021466.7
560,29113600,818681600
570,29634933.33,804852933.3
580,30154133.33,791511133.3
590,30674133.33,778632133.3
600,31193733.33,766190733.3
610,31714466.67,754164466.7
620,32234066.67,742536066.7
630,32753533.33,731285533.3
640,33273600,720395600
650,33792800,709846800
660,34315333.33,699628333.3
670,34833800,689720800
680,35354933.33,680115933.3
690,35874000,670794000
700,36394600,661746600
710,36912600,652960600
720,37433200,644429200
730,37954333.33,636138333.3
740,38473466.67,628076466.7
750,38994600,620241600
760,39515200,612616200
770,40033400,605195400
780,40553400,597971400
790,41073600,590939600
800,41594733.33,584091733.3
810,42114400,577416400
820,42634066.67,570909066.7
830,43153466.67,564566466.7
840,43674733.33,558384733.3
850,44192933.33,552349933.3
860,44713200,546464200
870,45233600,540719600
880,45753466.67,535112466.7
890,46272666.67,529636666.7
900,46793866.67,524288866.7
910,47312333.33,519064333.3
920,47833533.33,513959533.3
930,48353600,508970600
940,48872466.67,504091466.7
950,49393866.67,499322866.7
960,49913266.67,494660266.7
970,50433066.67,490097066.7
980,50953733.33,485633733.3
990,51475466.67,481267466.7
1000,51993133.33,476990133.3
1010,52511800,472800800
1020,53033000,468704000
1030,53551800,464691800
1040,54073200,460760200
1050,54593933.33,456911933.3
1060,55112266.67,453136266.7
1070,55632666.67,449437666.7
1080,56153466.67,445814466.7
1090,56673000,442262000
1100,57193600,438779600
1110,57713266.67,435365266.7
1120,58232866.67,432013866.7
1130,58750933.33,428726933.3
1140,59271866.67,425502866.7
1150,59793133.33,422342133.3
1160,60312600,419239600
1170,60834400,416196400
1180,61352800,413203800
1190,61872266.67,410269266.7
1200,62391600,407388600
1210,62911866.67,404556866.7
1220,63432733.33,401779733.3
1230,63952933.33,399052933.3
1240,64471533.33,396369533.3
1250,64991733.33,393738733.3
1260,65513600,391151600
1270,66031533.33,388608533.3
1280,66553400,386111400
1290,67071600,383655600
1300,67592133.33,381241133.3
1310,68113266.67,378869266.7
1320,68632333.33,376537333.3
1330,69152533.33,374242533.3
1340,69668333.33,371985333.3
1350,70193200,369773200
1360,70712266.67,367591266.7
1370,71233400,365447400
1380,71751933.33,363333933.3
1390,72272000,361258000
1400,72792133.33,359215133.3
1410,73313533.33,357206533.3
1420,73833266.67,355229266.7
1430,74353533.33,353285533.3
1440,74873000,351368000
1450,75392266.67,349483266.7
1460,75909800,347623800
1470,76432533.33,345799533.3
1480,76951800,344001800
1490,77471333.33,342231333.3
1500,77993400,340490400
1510,78513200,338771200
1520,79031533.33,337080533.3
1530,79550000,335414000
1540,80072533.33,333775533.3
1550,80591400,332160400
1560,81112066.67,330568066.7
1570,81631666.67,329001666.7
1580,82151266.67,327456266.7
1590,82671333.33,325935333.3
1600,83193733.33,324440733.3
